translate            [træns'let]          vt. 翻译；转化；解释；转变为；调动 vi. 翻译
action-adventure     [-]                  动作冒险
accommodation        [ə,kɑmə'deʃən]       n. 住处，膳宿；调节；和解；预订铺位
analysis             [ə'næləsɪs]          n. 分析；分解；验定
communist            [kɑmjʊnɪst]          n. 共产党员；共产主义者 adj. 共产主义的
occasion             [ə'keʒn]             n. 时机，机会；场合；理由 vt. 引起，惹起
conversation         [,kɑnvɚ'seʃən]       n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
defend               [dɪ'fɛnd]            vt. 辩护；防护 vi. 保卫；防守
indignant            [ɪn'dɪɡnənt]         adj. 愤愤不平的；义愤的
indigenous           [ɪn'dɪdʒənəs]        adj. 本土的；土著的；国产的；固有的
antibiotic           [æntɪbaɪ'ɑtɪk]       adj. 抗生的；抗菌的 n. 抗生素，抗菌素
deplete              [dɪ'plit]            vt. 耗尽，用尽；使衰竭，使空虚
section              ['sɛkʃən]            n. 截面；部分；部门；地区；章节 vi. 被切割成片；被分成部分 vt. 把…分段；将…切片；对…进行划分
corresponding        [,kɔrə'spɑndɪŋ]      adj. 相当的，相应的；一致的；通信的 v. 类似（correspond的ing形式）；相配
remain               [rɪ'men]             vi. 保持；依然；留下；剩余；逗留；残存 n. 遗迹；剩余物，残骸
confident            ['kɑnfɪdənt]         adj. 自信的；确信的
potential            [pə'tɛnʃl]           n. 潜能；可能性；[电] 电势 adj. 潜在的；可能的；势的
statement            ['stetmənt]          n. 声明；陈述，叙述；报表，清单
state                [stet]               n. 国家；州；情形 vt. 规定；声明；陈述 adj. 国家的；州的；正式的 n. (State)人名；(罗、瑞典)斯塔特；(英)斯泰特
benefit              ['bɛnɪfɪt]           n. 利益，好处；救济金 vt. 有益于，对…有益 vi. 受益，得益
access               ['æksɛs]             vt. 使用；存取；接近 n. 进入；使用权；通路
damage               ['dæmɪdʒ]            n. 损害；损毁；赔偿金 vi. 损害；损毁 vt. 损害，毁坏
impact               [ɪm'pækt]            n. 影响；效果；碰撞；冲击力 vt. 挤入，压紧；撞击；对…产生影响 vi. 影响；撞击；冲突；压紧（on，upon，with）
cause                [kɔz]                n. 原因；事业；目标 vt. 引起；使遭受
standard             ['stændɚd]           n. 标准；水准；旗；度量衡标准 adj. 标准的；合规格的；公认为优秀的 n. (Standard)人名；(英)斯坦达德；(德)施坦达德
deficit              ['dɛfəsɪt]           n. 赤字；不足额
elite                [ɪˈliːt]             n. 精英；精华；中坚分子
exotic               [ɪɡ'zɑtɪk]           adj. 异国的；外来的；异国情调的
